sha256,path,type
1fa92c00fa0b305b6bbe6e2ee4b012b588a906a20a05e135cbe64c9d77d676de,./2.12.0/apache-log4j-2.12.0-bin/org/apache/logging/log4j/core/net/JndiManager.class,log4j2-class
293d7e83d4197f0496855f40a7745cfcdd10026dc057dfc1816de57295be88a6,./2.10.0/apache-log4j-2.10.0-bin/org/apache/logging/log4j/core/net/JndiManager.class,log4j2-class
6540d5695ddac8b0a343c2e91d58316cfdbfdc5b99c6f3f91bc381bc6f748246,./2.6.2/apache-log4j-2.6.2-bin/org/apache/logging/log4j/core/net/JndiManager.class,log4j2-class
6540d5695ddac8b0a343c2e91d58316cfdbfdc5b99c6f3f91bc381bc6f748246,./2.6/apache-log4j-2.6-bin/org/apache/logging/log4j/core/net/JndiManager.class,log4j2-class
1fa92c00fa0b305b6bbe6e2ee4b012b588a906a20a05e135cbe64c9d77d676de,./2.12.1/apache-log4j-2.12.1-bin/org/apache/logging/log4j/core/net/JndiManager.class,log4j2-class
77323460255818f4cbfe180141d6001bfb575b429e00a07cbceabd59adf334d6,./2.14.1/apache-log4j-2.14.1-bin/org/apache/logging/log4j/core/net/JndiManager.class,log4j2-class
293d7e83d4197f0496855f40a7745cfcdd10026dc057dfc1816de57295be88a6,./2.9.1/apache-log4j-2.9.1-bin/org/apache/logging/log4j/core/net/JndiManager.class,log4j2-class
3bff6b3011112c0b5139a5c3aa5e698ab1531a2f130e86f9e4262dd6018916d7,./2.4/apache-log4j-2.4-bin/org/apache/logging/log4j/core/net/JndiManager.class,log4j2-class
77323460255818f4cbfe180141d6001bfb575b429e00a07cbceabd59adf334d6,./2.14.0/apache-log4j-2.14.0-bin/org/apache/logging/log4j/core/net/JndiManager.class,log4j2-class
c3e95da6542945c1a096b308bf65bbd7fcb96e3d201e5a2257d85d4dedc6a078,./2.13.3/apache-log4j-2.13.3-bin/org/apache/logging/log4j/core/net/JndiManager.class,log4j2-class
c3e95da6542945c1a096b308bf65bbd7fcb96e3d201e5a2257d85d4dedc6a078,./2.13.2/apache-log4j-2.13.2-bin/org/apache/logging/log4j/core/net/JndiManager.class,log4j2-class
3d64decc169e316ecf8f10c58d6e010efc77a28b99ba80dd5c0dfaced0ad6d31,./2.11.0/apache-log4j-2.11.0-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
fcc73739eee74adb5b46d1e12ea26ed91d12808cf2021a6d34fcddd7c02aaaf4,./2.8/apache-log4j-2.8-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
fcc73739eee74adb5b46d1e12ea26ed91d12808cf2021a6d34fcddd7c02aaaf4,./2.8.1/apache-log4j-2.8.1-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
da20205355f3b9ad3fc4402e3046adb47ab1891853566a8a949e6d7dde6ef776,./2.9.0/apache-log4j-2.9.0-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
01a26cb9062365f7c544a57d2a90a86f178495dd13b3faca3256e69a090eba74,./2.4.1/apache-log4j-2.4.1-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
d5e81e820da0758d41080253eee34e9ab3d78a25525bf060e008f6638e586055,./2.8.2/apache-log4j-2.8.2-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
d92121a5a25a3eddc99a907726633ba64432269856d8cd04f99338b070eddd7d,./2.6.1/apache-log4j-2.6.1-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
3e190fe48eda05d4c17f8944361c68e0e5821abccef5eeeac79d6e06fb8b6337,./2.11.2/apache-log4j-2.11.2-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
2aef3129ca881726793b206c727981eb5a9e64ab2258a351b04238f3220470be,./2.13.0/apache-log4j-2.13.0-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
d352a4a99913ba18e8ee89cb00aa5aff937ea88bcb4caefd15bdb7f94f6d26fa,./2.1/apache-log4j-2.1-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
6ebac1560d176f47389a18a8ab191fc8651a494a2878f963d5c531dd46806973,./2.15.0/apache-log4j-2.15.0-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
01a26cb9062365f7c544a57d2a90a86f178495dd13b3faca3256e69a090eba74,./2.5/apache-log4j-2.5-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
d352a4a99913ba18e8ee89cb00aa5aff937ea88bcb4caefd15bdb7f94f6d26fa,./2.2/apache-log4j-2.2-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
fcc73739eee74adb5b46d1e12ea26ed91d12808cf2021a6d34fcddd7c02aaaf4,./2.7/apache-log4j-2.7-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
d352a4a99913ba18e8ee89cb00aa5aff937ea88bcb4caefd15bdb7f94f6d26fa,./2.3/apache-log4j-2.3-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
2aef3129ca881726793b206c727981eb5a9e64ab2258a351b04238f3220470be,./2.13.1/apache-log4j-2.13.1-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
